feature,feature_level,band,node_1,node_2,n_ADHD,n_Control,ADHD_mean_r,Control_mean_r,mean_difference_r,ADHD_median_r,Control_median_r,ADHD_mean_z,Control_mean_z,U_statistic,p_value,cohen_d_z,abs_cohen_d_z,rank_biserial,abs_rank_biserial,p_fdr_all,p_fdr_within_level,p_fdr_within_level_band,significant_uncorrected,significant_fdr_all,significant_fdr_within_level,significant_fdr_within_level_band,direction
Fp2_P7_theta_connectivity,channel,theta,Fp2,P7,61,60,-0.27786187070352225,-0.3624317014540867,0.08456983075056446,-0.2717080682293674,-0.41938328207662307,-0.3052827065546125,-0.4037634019476599,2272.0,0.0220931113827207,0.3636380651758475,0.3636380651758475,0.2415300546448087,0.2415300546448087,0.09354042480169467,0.09625279099223541,0.19883800244448632,True,False,False,False,ADHD > Control
C3_T7_theta_connectivity,channel,theta,C3,T7,61,60,0.2657764525379244,0.3484329171316595,-0.0826564645937351,0.273952934675448,0.39889138780133065,0.2885527134981151,0.4196365229814238,1495.0,0.08290590296454275,-0.3628005753095135,0.3628005753095135,-0.18306010928961747,0.18306010928961747,0.23355592897404262,0.23628182344894685,0.3544227351734203,False,False,False,False,Control > ADHD
Cz_Pz_delta_connectivity,channel,delta,Cz,Pz,61,60,-0.13408272540787325,-0.28032161896963964,0.1462388935617664,-0.0562642742681701,-0.28624302330820517,-0.1627161094374583,-0.3450607097709872,2261.0,0.02563224593691916,0.36247230201584085,0.36247230201584085,0.23551912568306022,0.23551912568306022,0.10367455898508085,0.10690522085885798,0.4285963040788808,True,False,False,False,ADHD > Control
T7_P8_beta_connectivity,channel,beta,T7,P8,61,60,-0.19258527977857404,-0.1335126666875592,-0.05907261309101483,-0.1926850760437575,-0.11111939900274351,-0.19947350553271834,-0.13895137254141568,1317.0,0.007887882441122838,-0.36063586794237396,0.36063586794237396,-0.280327868852459,0.280327868852459,0.044615835057601055,0.04611377427117967,0.01729266535169238,True,True,True,True,Control > ADHD
P4_O1_beta_connectivity,channel,beta,P4,O1,61,60,-0.009244809671954254,0.04685851174283859,-0.056103321414792844,-0.0012061263725001,0.06798739197499035,-0.009470579443989538,0.04754101098546391,1444.0,0.0456672672858111,-0.35934211866134236,0.35934211866134236,-0.21092896174863385,0.21092896174863385,0.1496067941851911,0.15237273572436483,0.06972413130244375,True,False,False,False,Control > ADHD
Fp2_C4_delta_connectivity,channel,delta,Fp2,C4,61,60,0.21129169495532443,0.3397393516706394,-0.12844765671531497,0.1288578737494927,0.34265006382941043,0.268026410064971,0.4375233002675218,1423.0,0.03508975588949901,-0.3584754590148927,0.3584754590148927,-0.2224043715846995,0.2224043715846995,0.12702491631998641,0.13044235341531155,0.4285963040788808,True,False,False,False,Control > ADHD
C3_F7_beta_connectivity,channel,beta,C3,F7,61,60,0.16031952895350185,0.08181355857126901,0.07850597038223284,0.0938674262788894,0.0570067963517936,0.176096942281757,0.08625563282442297,2092.0,0.17521623901591998,0.3563848068149407,0.3563848068149407,0.1431693989071039,0.1431693989071039,0.3809506217643425,0.3816812340346792,0.23226338660249857,False,False,False,False,ADHD > Control
O1_P7_delta_connectivity,channel,delta,O1,P7,61,60,0.5167324092276833,0.606126271201054,-0.08939386197337074,0.5266987199222055,0.64838919256842,0.6470718523673278,0.7926384340903884,1384.0,0.020915879159025454,-0.3563125119732369,0.3563125119732369,-0.24371584699453552,0.24371584699453552,0.09248420799582294,0.09542224222773445,0.4285963040788808,True,False,False,False,Control > ADHD
Fp2_Cz_delta_connectivity,channel,delta,Fp2,Cz,61,60,0.1969215597270477,0.3372304529696677,-0.14030889324262,0.1165601243564221,0.33466594513423914,0.2601763841046263,0.43406690903971523,1398.0,0.025291396573659676,-0.35625848471303584,0.35625848471303584,-0.23606557377049175,0.23606557377049175,0.1034518142335006,0.10678589664434086,0.4285963040788808,True,False,False,False,Control > ADHD
Fp1_T7_beta_connectivity,channel,beta,Fp1,T7,61,60,0.11608137734068483,0.0290573557365839,0.08702402160410093,0.0615067284715824,0.009643945107097951,0.1253372404369822,0.03237518587120564,2204.0,0.052837449363514796,0.3559794325087144,0.3559794325087144,0.2043715846994536,0.2043715846994536,0.16488928163441685,0.16809681564950754,0.07856698992313939,False,False,False,False,ADHD > Control
F7_T7_beta_connectivity,channel,beta,F7,T7,61,60,0.33986950369870983,0.23820784850335663,0.1016616551953532,0.3159188799796503,0.2329788968093777,0.3898093487054182,0.2720376805659447,2246.0,0.03124192452667291,0.35362891257947937,0.35362891257947937,0.22732240437158469,0.22732240437158469,0.11966222234697815,0.12321294196221531,0.05342369094061068,True,False,False,False,ADHD > Control
O2_Cz_alpha_connectivity,channel,alpha,O2,Cz,61,60,-0.09395163102763919,-0.17004355400897542,0.07609192298133623,-0.0913932992210524,-0.2164427312315351,-0.09771633556360619,-0.1821433615529627,2267.0,0.02364537231653064,0.3527944437779548,0.3527944437779548,0.23879781420765034,0.23879781420765034,0.09838649170786312,0.10108396665316849,0.10108396665316849,True,False,False,False,ADHD > Control
F3_Pz_beta_connectivity,channel,beta,F3,Pz,61,60,-0.12214328240437226,-0.17738532890227582,0.055242046497903555,-0.1074991779699043,-0.18232791874615634,-0.12490956374733438,-0.18428133611336203,2215.0,0.04623169935763451,0.34987510942148903,0.34987510942148903,0.2103825136612021,0.2103825136612021,0.1500975351342035,0.15276561526870536,0.06996124416066815,True,False,False,False,ADHD > Control
F4_Pz_beta_connectivity,channel,beta,F4,Pz,61,60,-0.427645371710778,-0.38050227275647874,-0.047143098954299245,-0.4486069645626338,-0.39569601428341694,-0.4684563069008843,-0.4104928273940848,1434.0,0.040335513994663584,-0.34836364517175766,0.34836364517175766,-0.2163934426229508,0.2163934426229508,0.13906148634350685,0.1422138740842778,0.06446142890735956,True,False,False,False,Control > ADHD
C4_Pz_theta_connectivity,channel,theta,C4,Pz,61,60,-0.08329093729471591,-0.16920633301185412,0.0859153957171382,-0.0454205605396524,-0.11423338658177645,-0.09199912382224512,-0.18761732239392173,2230.0,0.038355743626737146,0.3478336101842906,0.3478336101842906,0.21857923497267762,0.21857923497267762,0.1354612604183302,0.13881126264914395,0.2351714645958874,True,False,False,False,ADHD > Control
F7_P8_delta_connectivity,channel,delta,F7,P8,61,60,-0.3265604826888289,-0.43362747793304557,0.10706699524421665,-0.2833258030670113,-0.44218876758681847,-0.3933758263529933,-0.5337210290935681,2244.0,0.03206418665098586,0.347797204077259,0.347797204077259,0.22622950819672139,0.22622950819672139,0.11966222234697815,0.12321294196221531,0.4285963040788808,True,False,False,False,ADHD > Control
C4_O1_alpha_connectivity,channel,alpha,C4,O1,61,60,-0.33252105604765786,-0.3841138886022641,0.05159283255460623,-0.3218300873562402,-0.39833991256706935,-0.35570199904106165,-0.41490082487065255,2207.0,0.050962044046033446,0.3477701630399876,0.3477701630399876,0.20601092896174866,0.20601092896174866,0.16112017418920618,0.164424708148523,0.1778471333035045,False,False,False,False,ADHD > Control
Fp1_F7_theta_connectivity,channel,theta,Fp1,F7,61,60,0.5413808315176347,0.610995664437547,-0.06961483291991233,0.558939253776477,0.632191279530717,0.6630375412727523,0.7870319985518675,1539.0,0.13207489184983856,-0.3476803709619038,0.3476803709619038,-0.15901639344262297,0.15901639344262297,0.32635570545830417,0.32731603632351297,0.4189731653477221,False,False,False,False,Control > ADHD
O1_P7_alpha_connectivity,channel,alpha,O1,P7,61,60,0.44362234796465955,0.4996818824814815,-0.05605953451682194,0.4542652849340918,0.5199606824739968,0.4965330688881622,0.584353010901846,1435.0,0.04084378243960124,-0.346947009307524,0.346947009307524,-0.21584699453551914,0.21584699453551914,0.13948537021826085,0.14253646524840433,0.1518323216776481,True,False,False,False,Control > ADHD
P3_Pz_delta_connectivity,channel,delta,P3,Pz,61,60,0.6766505918847513,0.6046553759771195,0.0719952159076318,0.7419615897141068,0.6333539676709299,0.9334761252775249,0.789374606192401,2203.0,0.053475262261856664,0.3436882974893813,0.3436882974893813,0.20382513661202184,0.20382513661202184,0.1661634758694602,0.16933833049587946,0.48707542977531226,False,False,False,False,ADHD > Control
F8_T7_beta_connectivity,channel,beta,F8,T7,61,60,-0.23076881031662036,-0.17691736421509488,-0.05385144610152548,-0.2490834811961658,-0.1685948824622484,-0.24361104730712083,-0.1836912947007187,1448.0,0.047960353192599475,-0.3409259671062622,0.3409259671062622,-0.20874316939890714,0.20874316939890714,0.15364290137806205,0.15696115590305282,0.07194052978889921,True,False,False,False,Control > ADHD
F3_F7_theta_connectivity,channel,theta,F3,F7,61,60,0.4502300427152064,0.3648582735099695,0.08537176920523687,0.4869007393903283,0.3881680998093044,0.5347442090799197,0.4186126841071731,2172.0,0.07666767427328977,0.33808642827757046,0.33808642827757046,0.18688524590163924,0.18688524590163924,0.21853305580260549,0.2212687308140515,0.33615826412134747,False,False,False,False,ADHD > Control
Fp1_O2_alpha_connectivity,channel,alpha,Fp1,O2,61,60,-0.409639659661253,-0.35167775906487503,-0.05796190059637796,-0.4043667266547557,-0.3358490014874723,-0.4556883951947549,-0.3813369111131879,1507.0,0.09455194967314379,-0.33787435135156013,0.33787435135156013,-0.1765027322404371,0.1765027322404371,0.2602874964386164,0.2629005429936193,0.2740403965102981,False,False,False,False,Control > ADHD
P3_O1_beta_connectivity,channel,beta,P3,O1,61,60,0.5219362975196533,0.419013389531443,0.1029229079882103,0.5173073521454437,0.4122620686545919,0.6210337366442852,0.5052228615354363,2274.0,0.021497480045218866,0.3369612657760042,0.3369612657760042,0.24262295081967222,0.24262295081967222,0.09264390209963369,0.095482313967076,0.03995727269274377,True,False,False,True,ADHD > Control
F8_P8_alpha_connectivity,channel,alpha,F8,P8,61,60,0.13640620452877028,0.05604190233843917,0.08036430219033111,0.1430927097257823,0.013190047734097751,0.1482545202389513,0.062026944637760935,2204.0,0.052837449363514796,0.3353500889503971,0.3353500889503971,0.2043715846994536,0.2043715846994536,0.16488928163441685,0.16809681564950754,0.18070407682322062,False,False,False,False,ADHD > Control
Fp2_T8_beta_connectivity,channel,beta,Fp2,T8,61,60,0.07353523941215412,0.004358522093470494,0.06917671731868362,0.042736536262334,-0.03450322608940955,0.08022129897117304,0.004967763394666273,2161.0,0.08665140415162045,0.3349123508101238,0.3349123508101238,0.18087431693989076,0.18087431693989076,0.24222245793734828,0.24491553900705945,0.12347825091605916,False,False,False,False,ADHD > Control
P4_P8_theta_connectivity,channel,theta,P4,P8,61,60,0.32756809494471517,0.40092284137739154,-0.07335474643267637,0.2995411201742189,0.34788100351374207,0.3640441412208878,0.4782448951613281,1593.0,0.22018715962691782,-0.3340670484556837,0.3340670484556837,-0.12950819672131153,0.12950819672131153,0.44529470270918575,0.4442714371233386,0.5246200400826094,False,False,False,False,Control > ADHD
Fp2_P8_alpha_connectivity,channel,alpha,Fp2,P8,61,60,-0.027466378020208765,-0.11156995262106703,0.08410357460085827,-0.0712368509347748,-0.15669961087197842,-0.025703339331623675,-0.11883551115908127,2202.0,0.05411949219725692,0.33390143926104543,0.33390143926104543,0.20327868852459008,0.20327868852459008,0.16673409510984685,0.16980611313267766,0.18145947383786143,False,False,False,False,ADHD > Control
Fp2_O1_beta_connectivity,channel,beta,Fp2,O1,61,60,-0.3342700204424052,-0.28780787436997196,-0.046462146072433264,-0.3083199665240329,-0.314017031414277,-0.3576855705575949,-0.3024296252182658,1622.0,0.28206466380960993,-0.33382798865621205,0.33382798865621205,-0.11366120218579234,0.11366120218579234,0.5169995356915382,0.5131176331004607,0.35994819038390524,False,False,False,False,Control > ADHD
F3_P8_beta_connectivity,channel,beta,F3,P8,61,60,-0.31902924130287197,-0.2728902651474316,-0.04613897615544038,-0.3124610413584473,-0.2760540021551803,-0.33706921628154235,-0.2869868593423473,1428.0,0.03739723663484688,-0.3335699453818477,0.3335699453818477,-0.21967213114754103,0.21967213114754103,0.13272352609622126,0.13606228647997481,0.06090407109103634,True,False,False,False,Control > ADHD
C4_P3_theta_connectivity,channel,theta,C4,P3,61,60,-0.20295390488728793,-0.2851975120308306,0.08224360714354267,-0.1823232864450752,-0.2714974896897656,-0.22406595967295806,-0.3152482893508527,2244.0,0.03206418665098586,0.3333669832543317,0.3333669832543317,0.22622950819672139,0.22622950819672139,0.11966222234697815,0.12321294196221531,0.2344476130690799,True,False,False,False,ADHD > Control
P4_Fz_beta_connectivity,channel,beta,P4,Fz,61,60,-0.46514537528497296,-0.42765232268202014,-0.037493052602952825,-0.477601224899833,-0.4276192381272724,-0.5151393549410418,-0.4653064821060658,1375.0,0.018465158360424148,-0.33205985415818456,0.33205985415818456,-0.24863387978142082,0.24863387978142082,0.08408034372922694,0.08710460909331115,0.035478000894747515,True,False,False,True,Control > ADHD
F4_F7_beta_connectivity,channel,beta,F4,F7,61,60,-0.1631276586151315,-0.11600896111210456,-0.047118697503026954,-0.1509135620166762,-0.10523104152806255,-0.16948327229943067,-0.11898185591628743,1470.0,0.06236803343344608,-0.33121148561010555,0.33121148561010555,-0.19672131147540983,0.19672131147540983,0.18736288882080895,0.19044524494855858,0.09115327963349812,False,False,False,False,Control > ADHD
F3_O2_alpha_connectivity,channel,alpha,F3,O2,61,60,-0.49697563494982455,-0.4504324290327456,-0.046543205917078945,-0.4914615466436458,-0.4258000998169027,-0.5576278769528672,-0.5003320920793134,1386.0,0.021497480045218866,-0.33087129199925996,0.33087129199925996,-0.2426229508196721,0.2426229508196721,0.09264390209963369,0.095482313967076,0.09935321858736287,True,False,False,False,Control > ADHD
T8_P7_delta_connectivity,channel,delta,T8,P7,61,60,-0.22522927169522572,-0.3371749872192397,0.111945715524014,-0.1818765348787794,-0.3303200016137597,-0.27485959394576376,-0.4129705317295024,2242.0,0.0329049281500463,0.33042941727738484,0.33042941727738484,0.22513661202185786,0.22513661202185786,0.12092978670372347,0.12434790527420811,0.4285963040788808,True,False,False,False,ADHD > Control
O2_T8_theta_connectivity,channel,theta,O2,T8,61,60,0.1590977013007175,0.05936980043368059,0.0997279008670369,0.1393184329561964,0.0652132925414114,0.17306092117057995,0.07388103754775184,2258.0,0.02667873938536461,0.3298587849725862,0.3298587849725862,0.23387978142076493,0.23387978142076493,0.10612861162090097,0.10992926349150238,0.22014764436446907,True,False,False,False,ADHD > Control
Fp2_F3_beta_connectivity,channel,beta,Fp2,F3,61,60,-0.05756122171481087,0.0029264234924323003,-0.060487645207243174,-0.0596180085020621,0.0229479874498743,-0.06132484532142543,0.004463568426360838,1572.0,0.18191042067901753,-0.32916810410137765,0.32916810410137765,-0.14098360655737707,0.14098360655737707,0.390810518016643,0.39125062876504707,0.23745558729856486,False,False,False,False,Control > ADHD
T7_Pz_alpha_connectivity,channel,alpha,T7,Pz,61,60,-0.17377730026807925,-0.10819573072959217,-0.06558156953848708,-0.1742402772110305,-0.15164062780829146,-0.18112096922273363,-0.10979040132851475,1525.0,0.11444004564235453,-0.3286066572050875,0.3286066572050875,-0.16666666666666663,0.16666666666666663,0.2991140543143129,0.3010653508437327,0.305769496950666,False,False,False,False,Control > ADHD
Fp2_P7_alpha_connectivity,channel,alpha,Fp2,P7,61,60,-0.19483279435320613,-0.25993622911312503,0.0651034347599189,-0.2008060561330041,-0.3033349391583652,-0.20621056956154127,-0.27577627428470236,2178.0,0.07163017752662632,0.32399763086412936,0.32399763086412936,0.19016393442622959,0.19016393442622959,0.20661453597321697,0.2093805189239846,0.21489053257987895,False,False,False,False,ADHD > Control
O2_P8_delta_connectivity,channel,delta,O2,P8,61,60,0.503267214326269,0.5928492379427455,-0.08958202361647649,0.5765597734798095,0.6207775125508247,0.6552680303277444,0.8207215241913655,1548.0,0.1444788746311423,-0.3231023051532741,0.3231023051532741,-0.15409836065573768,0.15409836065573768,0.3396757900542569,0.34062372844974703,0.6238719555367018,False,False,False,False,Control > ADHD
Fp2_P7_delta_connectivity,channel,delta,Fp2,P7,61,60,-0.4267255273006166,-0.5209043376263419,0.09417881032572534,-0.4524546669065606,-0.5342149674255912,-0.5255707911340569,-0.6608758822212253,2204.0,0.052837449363514796,0.3217505491450187,0.3217505491450187,0.2043715846994536,0.2043715846994536,0.16488928163441685,0.16809681564950754,0.48707542977531226,False,False,False,False,ADHD > Control
F8_P7_beta_connectivity,channel,beta,F8,P7,61,60,-0.2134354612061678,-0.16862573398225938,-0.04480972722390841,-0.200813562402211,-0.14572542347496176,-0.22315624728129768,-0.1738004440572148,1478.0,0.06842499331628256,-0.3210380074527285,0.3210380074527285,-0.1923497267759563,0.1923497267759563,0.20056556745339504,0.20348998012320552,0.09915825302613829,False,False,False,False,Control > ADHD
C3_O1_theta_connectivity,channel,theta,C3,O1,61,60,-0.015278423048310601,-0.09121504756016788,0.07593662451185727,-0.0399366119583333,-0.0808060953653206,-0.01206267116063365,-0.09828388207659829,2122.0,0.13074922006024675,0.3208792257515809,0.3208792257515809,0.15956284153005473,0.15956284153005473,0.32418642234115974,0.32520896916803194,0.4189731653477221,False,False,False,False,ADHD > Control
C4_P7_theta_connectivity,channel,theta,C4,P7,61,60,-0.39927762262939565,-0.4627096822207042,0.06343205959130854,-0.422117918617185,-0.47638820825230255,-0.4470102580477561,-0.5252026933983266,2120.0,0.13341095369535624,0.3200420399345799,0.3200420399345799,0.1584699453551912,0.1584699453551912,0.32742213720487434,0.32824853355260314,0.4189731653477221,False,False,False,False,ADHD > Control
F3_C3_delta_connectivity,channel,delta,F3,C3,61,60,0.4002334543596171,0.516796752483,-0.11656329812338295,0.422689328831012,0.5349964371870353,0.5451107528108844,0.73350243118318,1499.0,0.08665140415162045,-0.31908457815414376,0.31908457815414376,-0.18087431693989076,0.18087431693989076,0.24222245793734828,0.24491553900705945,0.5998003556882329,False,False,False,False,Control > ADHD
O1_Cz_delta_connectivity,channel,delta,O1,Cz,61,60,-0.3090536273071111,-0.41579238155824955,0.10673875425113843,-0.2848083981496627,-0.44580404134879226,-0.3719643790222493,-0.49438975533962987,2275.0,0.02120494271727432,0.31761457829684026,0.31761457829684026,0.24316939890710376,0.24316939890710376,0.09248420799582294,0.09542224222773445,0.4285963040788808,True,False,False,False,ADHD > Control
F7_P8_theta_connectivity,channel,theta,F7,P8,61,60,-0.19271178105424847,-0.2661172150624115,0.07340543400816302,-0.1717279990327546,-0.23974933403217466,-0.20936442267499045,-0.2948980173429175,2140.0,0.10861112906992067,0.31577179960057494,0.31577179960057494,0.1693989071038251,0.1693989071038251,0.2869870709730751,0.28906619565690944,0.4189731653477221,False,False,False,False,ADHD > Control
F7_Fz_theta_connectivity,channel,theta,F7,Fz,61,60,0.195357063616257,0.26470311877179187,-0.06934605515553488,0.196233489300352,0.28041944260064094,0.20958432859607884,0.2981788943815438,1526.0,0.11563485000779898,-0.31574399796294805,0.31574399796294805,-0.16612021857923498,0.16612021857923498,0.3011497532577211,0.30304305519285246,0.4189731653477221,False,False,False,False,Control > ADHD
P4_T7_alpha_connectivity,channel,alpha,P4,T7,61,60,-0.3465178643715436,-0.28806746631329855,-0.058450398058245034,-0.3317176370938057,-0.3045664105568938,-0.37490262786028605,-0.31012779170415744,1477.0,0.0676423894727773,-0.31487223054951596,0.31487223054951596,-0.19289617486338795,0.19289617486338795,0.20056556745339504,0.20348998012320552,0.21273952467426033,False,False,False,False,Control > ADHD
T8_P8_theta_connectivity,channel,theta,T8,P8,61,60,0.4748061159892658,0.38805717359412595,0.08674894239513986,0.527831062041696,0.401336053744933,0.6189720375797837,0.47142501629629924,2228.0,0.0393350547481049,0.31319303405450427,0.31319303405450427,0.21748633879781432,0.21748633879781432,0.13626114659152128,0.13940506449587434,0.2351714645958874,True,False,False,False,ADHD > Control
C4_P3_delta_connectivity,channel,delta,C4,P3,61,60,-0.30543373007455216,-0.40306924272692407,0.09763551265237191,-0.2757842686191599,-0.3632948867431056,-0.3733063105783037,-0.5158166931968228,2149.0,0.09871332629908988,0.3119209247083339,0.3119209247083339,0.1743169398907103,0.1743169398907103,0.26969225751147574,0.27225772253458663,0.5998003556882329,False,False,False,False,ADHD > Control
Fp1_O1_alpha_connectivity,channel,alpha,Fp1,O1,61,60,-0.28977233504211425,-0.22271783220176652,-0.06705450284034772,-0.327946344634367,-0.25170745789975585,-0.3119862755838141,-0.23706275989921316,1567.0,0.1735717791088086,-0.3100392514314234,0.3100392514314234,-0.14371584699453555,0.14371584699453555,0.3808059638629619,0.3816812340346792,0.37339707005111394,False,False,False,False,Control > ADHD
P4_P8_delta_connectivity,channel,delta,P4,P8,61,60,0.39706093627199357,0.5017827798514735,-0.10472184357947989,0.4475708248669496,0.5187376542865926,0.5077938745420922,0.6694516446609357,1517.0,0.10522813257688295,-0.30671759561360146,0.30671759561360146,-0.17103825136612016,0.17103825136612016,0.2800925293590561,0.28225899091210954,0.5998003556882329,False,False,False,False,Control > ADHD
T7_P7_theta_connectivity,channel,theta,T7,P7,61,60,0.47798728762019654,0.3849331651136908,0.09305412250650574,0.5173407445395032,0.45163548317990665,0.5799584216161379,0.4607200643241246,2219.0,0.04400869512905495,0.30661631970679876,0.30661631970679876,0.2125683060109289,0.2125683060109289,0.14683085379463495,0.14976093267797802,0.2351714645958874,True,False,False,False,ADHD > Control
Fp1_Pz_beta_connectivity,channel,beta,Fp1,Pz,61,60,-0.14869999981199722,-0.20080173176749122,0.052101731955494,-0.1401909700786753,-0.2313864705443444,-0.15320414345349412,-0.20871679812104232,2242.0,0.0329049281500463,0.306590977846918,0.306590977846918,0.22513661202185786,0.22513661202185786,0.12092978670372347,0.12434790527420811,0.05516414425154822,True,False,False,False,ADHD > Control
C3_P4_theta_connectivity,channel,theta,C3,P4,61,60,-0.2786100621569688,-0.34633021262312164,0.06772015046615282,-0.2344022452395421,-0.32102499354047487,-0.3060233663843801,-0.3874704848301993,2195.0,0.05881274823408567,0.3065741747573315,0.3065741747573315,0.19945355191256842,0.19945355191256842,0.17890936857763878,0.1820267863896588,0.2860171413159752,False,False,False,False,ADHD > Control
O2_F7_alpha_connectivity,channel,alpha,O2,F7,61,60,-0.32583184371762897,-0.27382830027112365,-0.05200354344650532,-0.3286813108607954,-0.2531708755248117,-0.3495911216364358,-0.29178491563396564,1391.0,0.023013463392490337,-0.3056468415817012,0.3056468415817012,-0.23989071038251364,0.23989071038251364,0.09631067916857228,0.09900131421675089,0.1009051856439961,True,False,False,False,Control > ADHD
P4_P8_alpha_connectivity,channel,alpha,P4,P8,61,60,0.3093852437096002,0.37274045021413627,-0.06335520650453608,0.3462191827249906,0.34513344297515836,0.3360810008205696,0.42299463289314404,1635.0,0.3133104591507382,-0.3051935362017917,0.3051935362017917,-0.10655737704918034,0.10655737704918034,0.5465946323497215,0.5425426685040631,0.541172611260366,False,False,False,False,Control > ADHD
F8_T7_theta_connectivity,channel,theta,F8,T7,61,60,-0.14560531593966475,-0.22085527669757835,0.0752499607579136,-0.1483867076348407,-0.17015435255024347,-0.1586913555506818,-0.2479549638538259,2063.0,0.22808968841319477,0.30513588625409527,0.30513588625409527,0.1273224043715846,0.1273224043715846,0.4478222375728744,0.44585272528267084,0.5246200400826094,False,False,False,False,ADHD > Control
P4_T8_theta_connectivity,channel,theta,P4,T8,61,60,0.2255090639779659,0.1326636287049393,0.0928454352730266,0.2306613756577384,0.11263991391383771,0.25026142669132895,0.15477738813504677,2225.0,0.04084378243960124,0.30105792480698285,0.30105792480698285,0.21584699453551903,0.21584699453551903,0.13948537021826085,0.14253646524840433,0.2351714645958874,True,False,False,False,ADHD > Control
F3_Pz_theta_connectivity,channel,theta,F3,Pz,61,60,-0.24713938059537846,-0.17170386960741954,-0.07543551098795892,-0.3212032187338798,-0.21288364623213055,-0.2628781144668899,-0.18173912562910288,1445.0,0.04623169935763451,-0.300784887885932,0.300784887885932,-0.2103825136612022,0.2103825136612022,0.1500975351342035,0.15276561526870536,0.2395642603077425,True,False,False,False,Control > ADHD
F7_Pz_alpha_connectivity,channel,alpha,F7,Pz,61,60,-0.3478243416825677,-0.2857545974872698,-0.06206974419529793,-0.3910768716419944,-0.3474355176895727,-0.3782982547223873,-0.30626120074772917,1569.0,0.17687229634000134,-0.3003067052004547,0.3003067052004547,-0.14262295081967213,0.14262295081967213,0.3822553508960029,0.3828501604321548,0.37339707005111394,False,False,False,False,Control > ADHD
T8_Cz_theta_connectivity,channel,theta,T8,Cz,61,60,-0.04919413432894634,0.039083548872221346,-0.08827768320116769,-0.0892156372441631,0.0196969213027911,-0.04882216402526792,0.045033040505169424,1467.0,0.060214135013889517,-0.29997843295780363,0.29997843295780363,-0.1983606557377049,0.1983606557377049,0.18240599895420923,0.18552463220495688,0.2860171413159752,False,False,False,False,Control > ADHD
Fp2_T8_delta_connectivity,channel,delta,Fp2,T8,61,60,0.15638930935231868,0.27990268107752936,-0.12351337172521068,0.1222704820270764,0.23386889402780764,0.21092665178353867,0.3575297374317179,1483.0,0.07245041155314132,-0.29954695923272834,0.29954695923272834,-0.18961748633879782,0.18961748633879782,0.20815118239870758,0.2108769425631858,0.5631372897994167,False,False,False,False,Control > ADHD
F8_Fz_theta_connectivity,channel,theta,F8,Fz,61,60,-0.019797144172003577,0.05831978236138753,-0.07811692653339111,-0.0132080444000701,0.09499069697089796,-0.023225517673125085,0.06701184774849657,1535.0,0.12683408953190867,-0.29916336857173154,0.29916336857173154,-0.16120218579234968,0.16120218579234968,0.3210765063674891,0.3225074990328086,0.4189731653477221,False,False,False,False,Control > ADHD
O2_T7_beta_connectivity,channel,beta,O2,T7,61,60,-0.24769866021593753,-0.20172735777272693,-0.0459713024432106,-0.2566020656707786,-0.1889190922234533,-0.2586236814718742,-0.210336343597789,1438.0,0.04240126695911614,-0.2988410873342654,0.2988410873342654,-0.21420765027322408,0.21420765027322408,0.14345101531962656,0.14647710404058303,0.06713533935193389,True,False,False,False,Control > ADHD
O1_Fz_alpha_connectivity,channel,alpha,O1,Fz,61,60,-0.32994694356256327,-0.2792648913048933,-0.050682052257669974,-0.3694870497707525,-0.3169402494621192,-0.35423057179751105,-0.2955952103598521,1513.0,0.10084817070245253,-0.2975745499877901,0.2975745499877901,-0.173224043715847,0.173224043715847,0.2734609572605829,0.27592059504191013,0.2811275956779683,False,False,False,False,Control > ADHD
Fp1_P8_delta_connectivity,channel,delta,Fp1,P8,61,60,-0.4187523809004003,-0.5084363312426622,0.0896839503422619,-0.4118836580998917,-0.5021844805529402,-0.5143446594176057,-0.6399127009373655,2143.0,0.10522813257688295,0.29736015847010194,0.29736015847010194,0.17103825136612016,0.17103825136612016,0.2800925293590561,0.28225899091210954,0.5998003556882329,False,False,False,False,ADHD > Control
P3_T7_theta_connectivity,channel,theta,P3,T7,61,60,0.18242297918210806,0.24563765167217333,-0.06321467249006527,0.1957302354222801,0.2709200949055731,0.19260928969332378,0.2833507272793182,1617.0,0.27062990229013817,-0.29652588298001914,0.29652588298001914,-0.11639344262295082,0.11639344262295082,0.5089248032676884,0.505767358378291,0.5809040864377377,False,False,False,False,Control > ADHD
O1_T8_theta_connectivity,channel,theta,O1,T8,61,60,-0.19013943427619254,-0.24934847227496967,0.059209037998777136,-0.1599562319273539,-0.24776921557682424,-0.20290912860263088,-0.2668335849498119,2198.0,0.05676152563238416,0.2963705342312212,0.2963705342312212,0.20109289617486348,0.20109289617486348,0.1733980783031482,0.17647674332977623,0.2854770847981674,False,False,False,False,ADHD > Control
F4_T7_delta_connectivity,channel,delta,F4,T7,61,60,-0.34520376582774537,-0.4211873343541654,0.07598356852642002,-0.3940452106983287,-0.38722683955292464,-0.4108914338191848,-0.5424770819824494,2049.0,0.25733291055585605,0.2953334963374484,0.2953334963374484,0.11967213114754105,0.11967213114754105,0.4902869137958942,0.4875781463163588,0.7299122753790029,False,False,False,False,ADHD > Control
